,metric,scenario,num_townspeople,num_guacs_per_voter,std,pct_ppl_like,pct_ppl_dislike,loop_step,true_winner_recovered,multiple_winners
194,sum,a-lot-of-contenders,200,20,2,0,10,94,true,false
195,sum,a-lot-of-contenders,200,20,2,0,10,95,true,false
196,sum,a-lot-of-contenders,200,20,2,0,10,96,true,false
197,sum,a-lot-of-contenders,200,20,2,0,10,97,true,false
198,sum,a-lot-of-contenders,200,20,2,0,10,98,true,false
199,sum,a-lot-of-contenders,200,20,2,0,10,99,true,false
200,sum,a-lot-of-contenders,200,20,2,0,20,0,true,false
201,sum,a-lot-of-contenders,200,20,2,0,20,1,true,false
202,sum,a-lot-of-contenders,200,20,2,0,20,2,true,false
203,sum,a-lot-of-contenders,200,20,2,0,20,3,true,false
204,sum,a-lot-of-contenders,200,20,2,0,20,4,true,false
205,sum,a-lot-of-contenders,200,20,2,0,20,5,true,false
206,sum,a-lot-of-contenders,200,20,2,0,20,6,true,false
207,sum,a-lot-of-contenders,200,20,2,0,20,7,true,false
208,sum,a-lot-of-contenders,200,20,2,0,20,8,true,false
209,sum,a-lot-of-contenders,200,20,2,0,20,9,true,false
210,sum,a-lot-of-contenders,200,20,2,0,20,10,true,false
211,sum,a-lot-of-contenders,200,20,2,0,20,11,true,false
212,sum,a-lot-of-contenders,200,20,2,0,20,12,true,false
213,sum,a-lot-of-contenders,200,20,2,0,20,13,true,false
214,sum,a-lot-of-contenders,200,20,2,0,20,14,true,false
215,sum,a-lot-of-contenders,200,20,2,0,20,15,true,false
216,sum,a-lot-of-contenders,200,20,2,0,20,16,true,false
217,sum,a-lot-of-contenders,200,20,2,0,20,17,true,false
218,sum,a-lot-of-contenders,200,20,2,0,20,18,true,false
219,sum,a-lot-of-contenders,200,20,2,0,20,19,true,false
220,sum,a-lot-of-contenders,200,20,2,0,20,20,true,false
221,sum,a-lot-of-contenders,200,20,2,0,20,21,true,false
222,sum,a-lot-of-contenders,200,20,2,0,20,22,true,false
223,sum,a-lot-of-contenders,200,20,2,0,20,23,true,false
224,sum,a-lot-of-contenders,200,20,2,0,20,24,true,false
225,sum,a-lot-of-contenders,200,20,2,0,20,25,true,false
226,sum,a-lot-of-contenders,200,20,2,0,20,26,true,false
227,sum,a-lot-of-contenders,200,20,2,0,20,27,true,false
228,sum,a-lot-of-contenders,200,20,2,0,20,28,true,false
229,sum,a-lot-of-contenders,200,20,2,0,20,29,true,false
230,sum,a-lot-of-contenders,200,20,2,0,20,30,true,false
231,sum,a-lot-of-contenders,200,20,2,0,20,31,true,false
232,sum,a-lot-of-contenders,200,20,2,0,20,32,true,false
233,sum,a-lot-of-contenders,200,20,2,0,20,33,true,false
234,sum,a-lot-of-contenders,200,20,2,0,20,34,true,false
235,sum,a-lot-of-contenders,200,20,2,0,20,35,true,false
236,sum,a-lot-of-contenders,200,20,2,0,20,36,true,false
237,sum,a-lot-of-contenders,200,20,2,0,20,37,true,false
238,sum,a-lot-of-contenders,200,20,2,0,20,38,true,false
239,sum,a-lot-of-contenders,200,20,2,0,20,39,true,false
240,sum,a-lot-of-contenders,200,20,2,0,20,40,true,false
241,sum,a-lot-of-contenders,200,20,2,0,20,41,true,false
242,sum,a-lot-of-contenders,200,20,2,0,20,42,true,false
243,sum,a-lot-of-contenders,200,20,2,0,20,43,true,false
244,sum,a-lot-of-contenders,200,20,2,0,20,44,true,false
245,sum,a-lot-of-contenders,200,20,2,0,20,45,true,false
246,sum,a-lot-of-contenders,200,20,2,0,20,46,true,false
247,sum,a-lot-of-contenders,200,20,2,0,20,47,true,false
248,sum,a-lot-of-contenders,200,20,2,0,20,48,true,false
249,sum,a-lot-of-contenders,200,20,2,0,20,49,true,false
250,sum,a-lot-of-contenders,200,20,2,0,20,50,true,false
251,sum,a-lot-of-contenders,200,20,2,0,20,51,true,false
252,sum,a-lot-of-contenders,200,20,2,0,20,52,true,false
253,sum,a-lot-of-contenders,200,20,2,0,20,53,true,false
254,sum,a-lot-of-contenders,200,20,2,0,20,54,true,false
255,sum,a-lot-of-contenders,200,20,2,0,20,55,true,false
256,sum,a-lot-of-contenders,200,20,2,0,20,56,true,false
257,sum,a-lot-of-contenders,200,20,2,0,20,57,true,false
258,sum,a-lot-of-contenders,200,20,2,0,20,58,true,false
259,sum,a-lot-of-contenders,200,20,2,0,20,59,true,false
260,sum,a-lot-of-contenders,200,20,2,0,20,60,true,false
261,sum,a-lot-of-contenders,200,20,2,0,20,61,true,false
262,sum,a-lot-of-contenders,200,20,2,0,20,62,true,false
263,sum,a-lot-of-contenders,200,20,2,0,20,63,true,false
264,sum,a-lot-of-contenders,200,20,2,0,20,64,true,false
265,sum,a-lot-of-contenders,200,20,2,0,20,65,true,false
266,sum,a-lot-of-contenders,200,20,2,0,20,66,true,false
267,sum,a-lot-of-contenders,200,20,2,0,20,67,true,false
268,sum,a-lot-of-contenders,200,20,2,0,20,68,true,false
269,sum,a-lot-of-contenders,200,20,2,0,20,69,true,false
270,sum,a-lot-of-contenders,200,20,2,0,20,70,true,false
271,sum,a-lot-of-contenders,200,20,2,0,20,71,true,false
272,sum,a-lot-of-contenders,200,20,2,0,20,72,true,false
273,sum,a-lot-of-contenders,200,20,2,0,20,73,true,false
274,sum,a-lot-of-contenders,200,20,2,0,20,74,true,false
275,sum,a-lot-of-contenders,200,20,2,0,20,75,true,false
276,sum,a-lot-of-contenders,200,20,2,0,20,76,true,false
277,sum,a-lot-of-contenders,200,20,2,0,20,77,true,false
278,sum,a-lot-of-contenders,200,20,2,0,20,78,true,false
279,sum,a-lot-of-contenders,200,20,2,0,20,79,true,false
280,sum,a-lot-of-contenders,200,20,2,0,20,80,true,false
281,sum,a-lot-of-contenders,200,20,2,0,20,81,true,false
282,sum,a-lot-of-contenders,200,20,2,0,20,82,true,false
283,sum,a-lot-of-contenders,200,20,2,0,20,83,true,false
284,sum,a-lot-of-contenders,200,20,2,0,20,84,true,false
285,sum,a-lot-of-contenders,200,20,2,0,20,85,true,false
286,sum,a-lot-of-contenders,200,20,2,0,20,86,true,false
287,sum,a-lot-of-contenders,200,20,2,0,20,87,true,false
288,sum,a-lot-of-contenders,200,20,2,0,20,88,true,false
289,sum,a-lot-of-contenders,200,20,2,0,20,89,true,false
290,sum,a-lot-of-contenders,200,20,2,0,20,90,true,false
291,sum,a-lot-of-contenders,200,20,2,0,20,91,true,false
292,sum,a-lot-of-contenders,200,20,2,0,20,92,true,false
293,sum,a-lot-of-contenders,200,20,2,0,20,93,true,false
294,sum,a-lot-of-contenders,200,20,2,0,20,94,true,false
295,sum,a-lot-of-contenders,200,20,2,0,20,95,true,false
296,sum,a-lot-of-contenders,200,20,2,0,20,96,true,false
297,sum,a-lot-of-contenders,200,20,2,0,20,97,true,false
298,sum,a-lot-of-contenders,200,20,2,0,20,98,true,false
299,sum,a-lot-of-contenders,200,20,2,0,20,99,true,false
300,sum,a-lot-of-contenders,200,20,2,0,30,0,true,false
301,sum,a-lot-of-contenders,200,20,2,0,30,1,true,false
302,sum,a-lot-of-contenders,200,20,2,0,30,2,true,false
303,sum,a-lot-of-contenders,200,20,2,0,30,3,true,false
304,sum,a-lot-of-contenders,200,20,2,0,30,4,true,false
305,sum,a-lot-of-contenders,200,20,2,0,30,5,true,false
306,sum,a-lot-of-contenders,200,20,2,0,30,6,true,false
307,sum,a-lot-of-contenders,200,20,2,0,30,7,true,false
308,sum,a-lot-of-contenders,200,20,2,0,30,8,true,false
309,sum,a-lot-of-contenders,200,20,2,0,30,9,true,false
310,sum,a-lot-of-contenders,200,20,2,0,30,10,true,false
311,sum,a-lot-of-contenders,200,20,2,0,30,11,true,false
312,sum,a-lot-of-contenders,200,20,2,0,30,12,true,false
313,sum,a-lot-of-contenders,200,20,2,0,30,13,true,false
314,sum,a-lot-of-contenders,200,20,2,0,30,14,true,false
315,sum,a-lot-of-contenders,200,20,2,0,30,15,true,false
316,sum,a-lot-of-contenders,200,20,2,0,30,16,true,false
317,sum,a-lot-of-contenders,200,20,2,0,30,17,true,false
318,sum,a-lot-of-contenders,200,20,2,0,30,18,true,false
319,sum,a-lot-of-contenders,200,20,2,0,30,19,true,false
320,sum,a-lot-of-contenders,200,20,2,0,30,20,true,false
321,sum,a-lot-of-contenders,200,20,2,0,30,21,true,false
322,sum,a-lot-of-contenders,200,20,2,0,30,22,true,false
323,sum,a-lot-of-contenders,200,20,2,0,30,23,true,false
324,sum,a-lot-of-contenders,200,20,2,0,30,24,true,false
325,sum,a-lot-of-contenders,200,20,2,0,30,25,true,false
326,sum,a-lot-of-contenders,200,20,2,0,30,26,true,false
327,sum,a-lot-of-contenders,200,20,2,0,30,27,true,false
328,sum,a-lot-of-contenders,200,20,2,0,30,28,true,false
329,sum,a-lot-of-contenders,200,20,2,0,30,29,true,false
330,sum,a-lot-of-contenders,200,20,2,0,30,30,true,false
331,sum,a-lot-of-contenders,200,20,2,0,30,31,true,false
332,sum,a-lot-of-contenders,200,20,2,0,30,32,true,false
333,sum,a-lot-of-contenders,200,20,2,0,30,33,true,false
334,sum,a-lot-of-contenders,200,20,2,0,30,34,true,false
335,sum,a-lot-of-contenders,200,20,2,0,30,35,true,false
336,sum,a-lot-of-contenders,200,20,2,0,30,36,true,false
337,sum,a-lot-of-contenders,200,20,2,0,30,37,true,false
338,sum,a-lot-of-contenders,200,20,2,0,30,38,true,false
339,sum,a-lot-of-contenders,200,20,2,0,30,39,true,false
340,sum,a-lot-of-contenders,200,20,2,0,30,40,true,false
341,sum,a-lot-of-contenders,200,20,2,0,30,41,true,false
342,sum,a-lot-of-contenders,200,20,2,0,30,42,true,false
343,sum,a-lot-of-contenders,200,20,2,0,30,43,true,false
344,sum,a-lot-of-contenders,200,20,2,0,30,44,true,false
345,sum,a-lot-of-contenders,200,20,2,0,30,45,true,false
346,sum,a-lot-of-contenders,200,20,2,0,30,46,true,false
347,sum,a-lot-of-contenders,200,20,2,0,30,47,true,false
348,sum,a-lot-of-contenders,200,20,2,0,30,48,true,false
349,sum,a-lot-of-contenders,200,20,2,0,30,49,true,false
350,sum,a-lot-of-contenders,200,20,2,0,30,50,true,false
351,sum,a-lot-of-contenders,200,20,2,0,30,51,true,false
352,sum,a-lot-of-contenders,200,20,2,0,30,52,true,false
353,sum,a-lot-of-contenders,200,20,2,0,30,53,true,false
354,sum,a-lot-of-contenders,200,20,2,0,30,54,true,false
355,sum,a-lot-of-contenders,200,20,2,0,30,55,true,false
356,sum,a-lot-of-contenders,200,20,2,0,30,56,true,false
357,sum,a-lot-of-contenders,200,20,2,0,30,57,true,false
358,sum,a-lot-of-contenders,200,20,2,0,30,58,true,false
359,sum,a-lot-of-contenders,200,20,2,0,30,59,true,false
360,sum,a-lot-of-contenders,200,20,2,0,30,60,true,false
361,sum,a-lot-of-contenders,200,20,2,0,30,61,true,false
362,sum,a-lot-of-contenders,200,20,2,0,30,62,true,false
363,sum,a-lot-of-contenders,200,20,2,0,30,63,true,false
364,sum,a-lot-of-contenders,200,20,2,0,30,64,true,false
365,sum,a-lot-of-contenders,200,20,2,0,30,65,true,false
366,sum,a-lot-of-contenders,200,20,2,0,30,66,true,false
367,sum,a-lot-of-contenders,200,20,2,0,30,67,true,false
368,sum,a-lot-of-contenders,200,20,2,0,30,68,true,false
369,sum,a-lot-of-contenders,200,20,2,0,30,69,true,false
370,sum,a-lot-of-contenders,200,20,2,0,30,70,true,false
371,sum,a-lot-of-contenders,200,20,2,0,30,71,true,false
372,sum,a-lot-of-contenders,200,20,2,0,30,72,true,false
373,sum,a-lot-of-contenders,200,20,2,0,30,73,true,false
374,sum,a-lot-of-contenders,200,20,2,0,30,74,true,false
375,sum,a-lot-of-contenders,200,20,2,0,30,75,true,false
376,sum,a-lot-of-contenders,200,20,2,0,30,76,true,false
377,sum,a-lot-of-contenders,200,20,2,0,30,77,true,false
378,sum,a-lot-of-contenders,200,20,2,0,30,78,true,false
